Date,Fiscal Quarter,IQ_NI_CF,IQ_TOTAL_REV,IQ_AR,IQ_GP ,IQ_TOTAL_CA,IQ_TOTAL_ASSETS,IQ_AP,IQ_LT_DEBT,IQ_ST_DEBT,IQ_ST_DEBT_REPAID,IQ_LT_DEBT_REPAID,IQ_TOTAL_CL,IQ_TOTAL_LIAB,IQ_TOTAL_DEBT,IQ_NET_CHANGE,IQ_PERIODDATE_BS,IQ_FULL_TIME,IQ_TOTAL_EQUITY,IQ_CASH_EQUIV,IQ_CASH_OPER,IQ_TOTAL_DIV_PAID_CF,IQ_CASH_FINAN,IQ_CAPITAL_LEASES,IQ_INVEST_SECURITY_CF,IQ_NI,CQID 
2019-03-31,FQ12019,3749.0,20021.0,14115.0,13429.0,41987.0,150027.0,6923.0,27662.0,1708.0,-16.0,-1002.0,29111.0,91072.0,30275.0,-3373.0,43555,0,58955.0,14734.0,3543.0,-2396.0,-5516.0,656.0,765.0,3749.0,IQ139677
2019-06-30,FQ22019,5607.0,20562.0,14653.0,13660.0,41799.0,155117.0,6912.0,27700.0,1719.0,0.0,0.0,31353.0,94332.0,30430.0,-358.0,43646,0,60785.0,14376.0,5948.0,-2522.0,-4534.0,749.0,-150.0,5607.0,IQ139677
2019-09-29,FQ32019,1753.0,20729.0,14801.0,13882.0,44333.0,155521.0,7491.0,26919.0,2299.0,0.0,0.0,35162.0,97311.0,30210.0,1873.0,43737,0,58210.0,16249.0,7527.0,-2499.0,-3893.0,726.0,-840.0,1753.0,IQ139677
2019-12-29,FQ42019,4010.0,20747.0,14481.0,13532.0,45274.0,157728.0,8544.0,26494.0,102.0,0.0,0.0,35964.0,98257.0,28696.0,1056.0,43828,132200,59471.0,17305.0,6398.0,-2500.0,-4072.0,1000.0,-308.0,4010.0,IQ139677
2020-03-29,FQ12020,5796.0,20691.0,14874.0,13644.0,44226.0,155017.0,7411.0,25393.0,2190.0,-18.0,-11.0,33689.0,93723.0,27583.0,-1775.0,43919,0,61294.0,15530.0,3358.0,-2505.0,-4315.0,0.0,-520.0,5796.0,IQ139677
2020-06-28,FQ22020,3626.0,18336.0,14645.0,11779.0,45892.0,158380.0,6765.0,25062.0,5332.0,0.0,0.0,36772.0,95402.0,30394.0,-4356.0,44010,0,62978.0,11174.0,3452.0,-2659.0,-357.0,0.0,-5614.0,3626.0,IQ139677
2020-09-27,FQ32020,3554.0,21082.0,14579.0,14142.0,57578.0,170693.0,7044.0,32680.0,5078.0,0.0,0.0,38847.0,106220.0,37758.0,7791.0,44101,0,64473.0,18965.0,8383.0,-2659.0,4196.0,0.0,-3524.0,3554.0,IQ139677
2021-01-03,FQ42020,1738.0,22475.0,13576.0,14692.0,51237.0,174894.0,9505.0,32635.0,832.0,0.0,0.0,42493.0,111616.0,36366.0,-4980.0,44199,134500,63278.0,13985.0,8343.0,-2658.0,-5644.0,1100.0,706.0,1738.0,IQ139677
2011-03-31,FQ12011,723.199,3896.762,0.0,2725.4509999999996,0.0,0.0,0.0,0.0,0.0,0.0,-21.026999999999997,0.0,0.0,0.0,0.629,40633,0,15702.999,0.0,1281.72,0.0,-1196.451,0.0,12.148,723.199,IQ141885706
2011-06-30,FQ22011,1540.031,4274.445,0.0,3167.107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.429000000000002,40724,0,0.0,0.0,2147.06,0.0,-1774.2479999999998,0.0,-1936.855,1540.031,IQ141885706
2011-09-30,FQ32011,12.335,4408.681,0.0,3260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.72,40816,0,0.0,0.0,1769.4160000000002,0.0,-2251.235,0.0,622.268,12.335,IQ141885706
2011-12-31,FQ42011,1157.435,4759.112,3817.0,3694.442,7354.0,19521.0,417.0,32.0,0.0,0.0,0.0,5897.0,7589.0,48.0,-3.338,40908,0,11932.0,27.0,1048.8039999999999,0.0,-1561.066,0.0,614.439,1157.435,IQ141885706
2012-03-31,FQ12012,883.0,4173.0,3646.763,3017.0,6751.048000000001,18961.563000000002,476.129,0.0,0.0,0.0,0.0,5514.959,6910.794,0.0,14.0,40999,0,12050.768999999998,40.998999999999995,1594.0,0.0,-1376.0,0.0,629.0,883.0,IQ141885706
2012-06-30,FQ22012,1267.0,4493.0,2994.005,3420.0,5992.96,17709.554,337.11800000000005,0.0,0.0,0.0,0.0,4839.721,6204.479,0.0,33.0,41090,0,11505.075,74.53699999999999,1561.0,0.0,-1326.0,0.0,1.0,1267.0,IQ141885706
2012-09-30,FQ32012,1585.0,4508.0,3097.51,3494.0,10930.739,22729.979,423.907,0.0,0.0,0.0,0.0,5367.892,7061.143,0.0,2687.0,41182,0,15668.836000000001,2760.988,2249.0,0.0,2244.0,0.0,-1825.0,1585.0,IQ141885706
2012-12-31,FQ42012,1540.0,5206.0,3602.0,3941.0,15354.0,27008.0,556.0,14630.0,1020.0,0.0,0.0,6776.0,23645.0,15672.0,3140.0,41274,21500,3363.0,5901.0,941.0,0.0,2389.0,0.0,-202.0,1540.0,IQ141885706
2013-03-31,FQ12013,968.0,4329.0,4299.0,3183.0,14923.0,27169.0,6308.0,14722.0,414.0,-601.0,0.0,6766.0,24212.0,15158.0,1078.0,41364,21500,2957.0,6979.0,1187.0,-636.0,-1582.0,0.0,1575.0,968.0,IQ141885706
2013-06-30,FQ22013,1068.0,4692.0,3755.0,3638.0,15662.0,27910.0,6332.0,14722.0,410.0,0.0,0.0,6805.0,24352.0,15154.0,1764.0,41455,21500,3558.0,8743.0,2037.0,-638.0,-500.0,0.0,486.0,1068.0,IQ141885706
2013-09-30,FQ32013,964.0,4658.0,3798.0,3566.0,16543.0,28252.0,6358.0,14724.0,411.0,0.0,0.0,6875.0,24675.0,15158.0,232.0,41547,21500,3577.0,8975.0,1798.0,-640.0,-613.0,0.0,-607.0,964.0,IQ141885706
2013-12-31,FQ42013,1128.0,5111.0,3116.0,3852.0,17848.0,29198.0,933.0,14292.0,413.0,0.0,0.0,6879.0,24706.0,14723.0,620.0,41639,25000,4492.0,9595.0,1245.0,-162.5,-747.0,0.0,321.0,1128.0,IQ141885706
2014-03-31,FQ12014,980.0,4563.0,3110.0,3463.0,17329.0,28657.0,5608.0,14732.0,2.0,-410.0,0.0,6216.0,23960.0,14752.0,-1455.0,41729,25000,4697.0,8140.0,624.0,-641.0,-1277.0,0.0,-660.0,980.0,IQ141885706
2014-06-30,FQ22014,1098.0,4926.0,3128.0,3813.0,17794.0,29045.0,5445.0,14730.0,251.0,0.0,0.0,6317.0,23827.0,15001.0,946.0,41820,25000,5218.0,9086.0,1717.0,-673.0,-415.0,0.0,-200.0,1098.0,IQ141885706
2014-09-30,FQ32014,506.0,5019.0,3064.0,3962.0,17555.0,28454.0,5495.0,14738.0,301.0,0.0,0.0,6635.0,23809.0,15061.0,-1367.0,41912,25000,4645.0,7719.0,1786.0,-673.0,-719.0,0.0,1151.0,506.0,IQ141885706
2014-12-31,FQ42014,-810.0,5452.0,3735.0,4333.0,16081.0,27513.0,1401.0,10538.0,425.0,0.0,0.0,11393.0,25771.0,14977.0,629.0,42004,26000,1742.0,8348.0,-578.0,-674.0,-882.0,0.0,17.0,-810.0,IQ141885706
2015-03-31,FQ12015,1022.0,5040.0,4214.0,4098.0,15408.0,26699.0,6426.0,10742.0,569.0,0.0,0.0,11050.0,25322.0,15332.0,-442.0,42094,26000,1377.0,7906.0,1585.0,-786.0,-930.0,0.0,8.0,1022.0,IQ141885706
2015-06-30,FQ22015,1366.0,5475.0,4367.0,4578.0,16877.0,53855.0,7124.0,27295.0,0.0,0.0,0.0,11258.0,48351.0,31302.0,-506.0,42185,28000,5504.0,7400.0,1832.0,-818.0,10169.0,0.0,-850.0,1366.0,IQ141885706
2015-09-30,FQ32015,1239.0,5944.0,4574.0,4777.0,17912.0,54832.0,7917.0,31365.0,760.0,0.0,0.0,8813.0,49969.0,32133.0,1823.0,42277,28000,4863.0,9223.0,2155.0,-850.0,-1056.0,0.0,872.0,1239.0,IQ141885706
2015-12-31,FQ42015,1517.0,6400.0,4730.0,5186.0,16314.0,53050.0,1597.0,29321.0,406.0,0.0,0.0,10894.0,49105.0,31752.0,-824.0,42369,28000,3945.0,8399.0,1963.0,-840.0,-2431.0,0.0,18.0,1517.0,IQ141885706
2016-03-31,FQ12016,1354.0,5958.0,4753.0,4628.0,16622.0,53720.0,8132.0,29490.0,400.0,-6.0,0.0,10662.0,49077.0,31913.0,-843.0,42460,28000,4643.0,7556.0,2128.0,-924.0,-1219.0,0.0,-1309.0,1354.0,IQ141885706
2016-06-30,FQ22016,1610.0,6452.0,5048.0,5047.0,16791.0,67211.0,8700.0,37328.0,494.0,0.0,0.0,9272.0,61571.0,37845.0,-1229.0,42551,28000,5640.0,6327.0,1918.0,-927.0,1164.0,0.0,-1608.0,1610.0,IQ141885706
2016-09-30,FQ32016,1598.0,6432.0,4999.0,4928.0,16290.0,66626.0,9047.0,37285.0,0.0,0.0,0.0,9103.0,60157.0,37311.0,-109.0,42643,28000,6469.0,6218.0,1454.0,-933.0,-1371.0,0.0,-24.0,1598.0,IQ141885706
2016-12-31,FQ42016,1391.0,6796.0,4758.0,5241.0,16187.0,66099.0,1407.0,36440.0,377.0,0.0,0.0,9781.0,61463.0,36842.0,-1118.0,42735,30000,4636.0,5100.0,1541.0,-933.0,-2502.0,0.0,-15.0,1391.0,IQ141885706
2017-03-31,FQ12017,1711.0,6538.0,4677.0,4922.0,15547.0,65664.0,8364.0,36879.0,400.0,0.0,-6.0,8844.0,60666.0,37304.0,-360.0,42825,29000,4998.0,4740.0,2102.0,-1027.0,-1794.0,0.0,-526.0,1711.0,IQ141885706
2017-06-30,FQ22017,1915.0,6944.0,4859.0,5415.0,16962.0,66994.0,8711.0,34123.0,400.0,0.0,0.0,12259.0,60985.0,37543.0,1348.0,42916,29000,6009.0,6088.0,2003.0,-1024.0,-980.0,0.0,481.0,1915.0,IQ141885706
2017-09-30,FQ32017,1631.0,6995.0,4891.0,5379.0,18930.0,68840.0,9015.0,34269.0,800.0,0.0,0.0,13033.0,62153.0,38090.0,2358.0,43008,29000,6687.0,8446.0,3271.0,-1026.0,-810.0,0.0,97.0,1631.0,IQ141885706
2017-12-31,FQ42017,52.0,7739.0,5088.0,5812.0,21223.0,70786.0,1474.0,30953.0,400.0,0.0,0.0,16641.0,65689.0,37368.0,857.0,43100,29000,5097.0,9303.0,2584.0,-1030.0,-1928.0,0.0,511.0,52.0,IQ141885706
2018-03-31,FQ12018,2783.0,7934.0,5841.0,6007.0,20444.0,69342.0,10542.0,31481.0,367.0,-33.0,-7.0,17058.0,65789.0,37872.0,-296.0,43190,29000,3553.0,9007.0,2645.0,-1137.0,-2509.0,0.0,44.0,2783.0,IQ141885706
