year,ID,lead_rating,rating,IQ_TOTAL_REV,IQ_NI_CF,IQ_AR,IQ_GP ,IQ_TOTAL_ASSETS,IQ_AP,IQ_TOTAL_LIAB,IQ_TOTAL_DEBT,IQ_CASH_FINAN,IQ_TOTAL_EQUITY,IQ_CASH_EQUIV
2014,KO,-1.0,-1.0,-214.0,-371.5,34.5,-81.0,4416.75,275.5,4411.0,4546.0,28.5,5.75,172.75
2012,CL,0.0,0.0,87.75,10.25,44.75,76.25,639.5,18.25,902.75,605.25,-264.75,-263.25,146.0
2013,CL,0.0,0.0,83.75,-57.75,-44.5,73.5,304.75,52.25,736.5,280.25,39.75,-431.75,-83.25
2014,CL,0.0,0.0,-35.75,-15.25,-46.75,-23.75,280.0,-33.0,596.0,753.25,-7.0,-316.0,475.25
2012,CMCSA,0.0,0.0,1682.0,510.75,699.5,871.0,4844.0,106.25,2169.0,-1577.25,541.0,2675.0,4228.25
2013,CMCSA,0.0,0.0,521.75,153.25,759.25,586.75,-3617.75,230.25,11037.75,8571.25,-2460.5,-14655.5,-4402.25
2014,CMCSA,-1.0,-1.0,1029.5,391.0,607.25,719.0,1266.0,215.75,-1751.75,533.25,1964.75,3017.75,1622.75
2012,CMA,0.0,0.0,41.5,32.0,0.0,41.5,5643.0,5506.0,5066.75,-586.25,609.0,576.25,-29.25
2013,CMA,0.0,0.0,10.25,5.0,0.0,10.25,1025.0,2177.75,1030.25,-1135.5,-1013.75,-5.25,1612.75
2014,CMA,0.0,0.0,-3.0,13.0,0.0,-3.0,2838.25,3353.5,2471.0,-865.0,704.25,367.25,69.5
2013,CAG,1.0,1.0,514.6749999999997,76.50000000000001,184.2249999999999,191.52499999999998,4921.749999999998,172.75,4729.15,3755.275,1245.65,192.60000000000036,-251.97500000000002
2014,CAG,1.0,1.0,104.25000000000045,-117.70000000000003,123.70000000000005,-16.75,3760.5250000000015,137.3499999999999,3196.8250000000007,2585.000000000001,-1291.775,563.6999999999998,-183.40000000000003
2012,ED,0.0,0.0,-7351.0,-92.25,1974.0,-2892.0,20320.0,882.0,21350.5,9185.5,1756.5,-1030.5,-321.0
2013,ED,0.0,0.0,9003.25,184.5,1440.0,2975.0,3912.0,374.0,-1595.0,-7517.0,-1134.75,5507.0,183.5
2014,ED,0.0,0.0,366.75,46.0,-1807.0,369.0,11828.5,-545.5,7369.0,268.0,81.75,4459.5,-1172.5
2012,CMS,0.0,0.0,-62.5,-8.25,-36.5,22.0,548.75,6.0,390.25,-91.5,60.0,158.5,-453.25
2013,CMS,0.0,0.0,78.25,17.5,120.0,40.5,727.0,26.0,500.0,459.5,37.25,227.0,197.25
2014,CMS,-1.0,-1.0,153.25,6.25,143.75,21.25,1027.25,115.5,748.0,772.75,77.0,279.25,65.25
2013,COO,-1.0,-1.0,35.047250000000076,11.953000000000003,19.139499999999998,25.699749999999995,256.8287499999997,16.501000000000005,-33.68700000000001,-68.43525000000005,-23.2885,290.51575,22.690749999999998
2014,COO,-1.0,-1.0,33.11274999999995,-6.573750000000004,17.70274999999998,20.31525000000005,520.5015000000003,11.034499999999994,312.12,271.67275000000006,250.9405,208.38149999999996,44.68349999999999
2012,TAP,0.0,0.0,100.20000000000005,-58.32499999999999,67.30000000000007,26.5,2631.125,165.92499999999995,2598.1499999999996,2087.675,459.12499999999994,32.974999999999454,-442.5
2013,TAP,0.0,0.0,72.40000000000009,31.07499999999999,-6.900000000000091,22.650000000000034,515.2249999999967,534.0249999999999,326.25,161.0250000000001,-557.65,188.97500000000036,-99.92499999999995
2014,TAP,0.0,0.0,-14.950000000000045,-13.324999999999989,-34.69999999999993,-1.5,-840.0499999999993,235.70000000000005,-1130.5,-704.3500000000004,64.30000000000001,290.4500000000007,7.0
2013,GLW,0.0,0.0,-48.25,81.25,92.25,1.25,-463.0,-140.5,-379.25,-312.25,-487.0,-83.75,-444.0
2014,GLW,-1.0,-1.0,474.0,127.75,287.75,182.0,1269.5,82.0,969.5,591.25,-130.75,300.0,521.5
2012,CMI,-2.0,-2.0,-178.5,-50.75,-63.75,-13.0,1051.25,-88.25,-76.75,7.25,82.75,1128.0,81.25
2013,CMI,-2.0,-2.0,-8.25,-40.5,80.5,-52.25,1404.5,57.25,687.25,530.0,186.5,717.25,799.75
2014,CMI,0.0,0.0,480.0,42.0,380.5,138.75,1697.75,302.5,1045.25,396.25,-348.75,652.5,240.75
2013,DHR,0.0,0.0,214.39999999999964,75.70000000000005,220.3162500000003,142.44999999999982,1963.434500000003,150.43124999999986,-446.6675000000014,-1064.7679999999996,-304.35,2410.101999999999,1051.2105000000004
2014,DHR,0.0,0.0,-1131.0,-363.4,204.82499999999936,-593.3499999999995,2312.649999999994,77.875,-222.74999999999818,-640.4000000000001,475.225,2535.399999999998,1028.025
2013,DE,0.0,0.0,-1282.75,-280.0,-45.0,-401.75,3101.0,-133.75,1672.0,675.25,-446.75,1429.0,-1984.0
