year,ID,rating,IQ_TOTAL_REV,IQ_NI_CF,IQ_AR,IQ_GP ,IQ_TOTAL_ASSETS,IQ_AP,IQ_TOTAL_LIAB,IQ_TOTAL_DEBT,IQ_CASH_FINAN,IQ_TOTAL_EQUITY,IQ_CASH_EQUIV
2013,EIX,0.1698196717294771,0.054638721660798806,0.5394136338145502,-0.06201440226286687,0.04793025941077654,-0.5128996005559522,-0.14066390914064114,-0.463719935896723,-0.44031528020112654,-0.012966639930877998,-0.3800032249291929,-0.08109875441683402
2014,EIX,-2.295057554402115,0.07596877175479805,0.33387282868747625,0.007042872941845799,0.14380810323339274,-0.010663853951741242,-0.13108222905127087,-0.03561638185772095,0.1673713882322683,0.00032976043801594623,0.06840414955669376,0.008280908278744115
2012,LUV,0.717570160947882,0.18903691340351964,0.10065321189740484,-0.04507582532586188,0.04048768705924925,-0.20356597434728263,-0.12824968858689498,-0.1583555033548591,-0.11983096674544494,-0.024363554532787095,-0.22629220027312616,0.002845415299673515
2013,LUV,0.1698196717294771,0.034252479093082724,0.14780970584177092,-0.049744792045677354,0.22436300397933515,-0.22404593110302398,-0.13692215815683598,-0.1657592321809966,-0.07448526807324791,0.0036288672964633157,-0.27410998014606214,0.04424155388199927
2014,LUV,-0.24099319929245486,0.08974836163853206,0.17241309398665758,-0.07265530315919053,0.3867862005920777,-0.19443854350935802,-0.14178293747224643,-0.14882517156802247,-0.04356950944044978,-0.045657789710038296,-0.22328430766821566,0.06688344185441918
2012,T,0.1698196717294771,-0.0416270033590091,-0.09607240428559073,-0.06806657751858304,-0.10465429435162055,-0.2590754213053502,-0.13214131942786456,-0.18312299786381964,0.020273704385316563,-0.008704293842699102,-0.3420913609096441,0.01670693030228642
2013,T,0.1698196717294771,0.2209829105531517,0.14176086035223323,-0.04564543926567937,0.09573433942300992,-0.18734491768961023,-0.1260991259513618,-0.16418278928253766,0.0041788906187913465,0.01550435233871748,-0.15407347008373942,0.09074100842875416
2014,T,0.1698196717294771,0.1425751564996526,-0.13616772583237433,-0.034748939586601156,0.09539241889321326,0.018246761011192714,-0.10828919557006249,0.07384887777409664,0.26639809303780776,0.14466148663181394,-0.15495894739135418,0.2656492330492755
2012,SWK,0.1698196717294771,-0.4486183275039035,-0.16834383182002258,-0.044359193224680855,-0.40711737012907395,-0.2490124061014866,-0.12258460765814322,-0.16434937318112583,0.011097465015262138,0.06844132112468845,-0.363058763254864,-0.07107008988723751
2013,SWK,0.1698196717294771,0.03279901550260671,-0.0016558771384155148,-0.03042829950020824,-0.02041006671118868,-0.24758425834102474,-0.1261620013557439,-0.16613466949381148,0.10723888003582706,0.030101700512125854,-0.35296304166556125,-0.00814795924210239
2014,SWK,0.1698196717294771,-0.03117225862886526,0.06933514907130948,-0.09188493120754677,-0.036871285559272715,-0.299463031280264,-0.13453023509802964,-0.2590068338540202,-0.0780849950508185,-0.10159264690098689,-0.2563634137770904,0.017395258095304893
2012,STT,0.1698196717294771,-0.07013263331383388,0.0488835826758725,-0.06690053022546447,-0.06545951935660976,0.3532754219216266,1.928314567091447,0.41120652910694083,-0.7892715721216436,-4.639014266019822,-0.007950047337187877,-0.0633524097898022
