year,ID,lead_rating
2013,LIN,0.0
2014,LIN,-2.0
2012,CME,0.0
2013,CME,1.0
2014,CME,1.0
2012,NDAQ,0.0
2013,NDAQ,0.0
2014,NDAQ,0.0
2012,LKQ,-1.0
2013,LKQ,-1.0
2014,LKQ,0.0
2012,AIZ,0.0
2013,AIZ,0.0
2014,AIZ,-1.0
2012,MA,-1.0
2013,MA,-1.0
2014,MA,-1.0
2012,GOOG,0.0
2013,GOOG,-1.0
2014,GOOG,-1.0
2012,DLR,0.0
2013,DLR,0.0
2014,DLR,0.0
2012,LVS,-2.0
2013,LVS,-2.0
2014,LVS,-1.0
2013,MOS,-1.0
2014,MOS,0.0
2012,DISCA,-1.0
2013,DISCA,-1.0
2014,DISCA,0.0
2013,AMP,0.0
2014,AMP,0.0
2013,LDOS,0.0
2014,LDOS,1.0
2013,LYV,0.0
2014,LYV,-1.0
2012,FIS,0.0
2013,FIS,0.0
2014,FIS,-1.0
2014,PSX,0.0
2012,HBI,0.0
2013,HBI,0.0
2014,HBI,-1.0
2013,BR,0.0
2014,BR,-1.0
2012,DFS,0.0
2013,DFS,0.0
2014,DFS,0.0
2012,MSCI,0.0
2013,MSCI,-1.0
2014,MSCI,-1.0
2012,AWK,0.0
2013,AWK,0.0
2014,AWK,-1.0
2012,PM,0.0
2013,PM,0.0
2014,PM,0.0
2013,HII,0.0
2014,HII,0.0
2013,MPC,0.0
2014,MPC,0.0
