,IQ Name,IQID,IQ_TOTAL_REV,IQ_NI_CF,IQ_AR,IQ_GP ,IQ_TOTAL_ASSETS,IQ_AP,IQ_TOTAL_LIAB,IQ_TOTAL_DEBT,IQ_CASH_FINAN,IQ_TOTAL_EQUITY,IQ_CASH_EQUIV,year,quarter
3926,Bristol-Myers Squibb Company,IQ25798,5454.0,852.0,3331.0,4102.0,32970.0,2603.0,17103.0,5491.0,-754.0,15867.0,5776.0,2011,4
3927,Bristol-Myers Squibb Company,IQ25798,5251.0,1101.0,3190.0,3948.0,32408.0,2385.0,16162.0,5415.0,-836.0,16246.0,2307.0,2012,1
3928,Bristol-Myers Squibb Company,IQ25798,4443.0,645.0,2496.0,3345.0,31667.0,2134.0,15855.0,5445.0,-850.0,15812.0,2801.0,2012,2
3929,Bristol-Myers Squibb Company,IQ25798,3736.0,-711.0,2489.0,2712.0,36044.0,2085.0,22144.0,7359.0,-1689.0,13900.0,1503.0,2012,3
3930,Bristol-Myers Squibb Company,IQ25798,4191.0,925.0,2565.0,3062.0,35897.0,2202.0,22259.0,7394.0,-958.0,13638.0,1656.0,2012,4
3931,Bristol-Myers Squibb Company,IQ25798,3831.0,609.0,2767.0,2782.0,35958.0,2079.0,22259.0,7894.0,-44.0,13699.0,1355.0,2013,1
3932,Bristol-Myers Squibb Company,IQ25798,4048.0,536.0,2866.0,2940.0,36252.0,2346.0,21879.0,7224.0,-1115.0,14373.0,1821.0,2013,2
3933,Bristol-Myers Squibb Company,IQ25798,4065.0,692.0,3083.0,2890.0,36804.0,2466.0,22090.0,7222.0,-620.0,14714.0,1771.0,2013,3
3934,Bristol-Myers Squibb Company,IQ25798,4441.0,726.0,2812.0,2931.0,38592.0,2559.0,23356.0,8394.0,711.0,15236.0,3586.0,2013,4
3935,Bristol-Myers Squibb Company,IQ25798,3811.0,937.0,2837.0,2888.0,33424.0,2502.0,17893.0,7660.0,-1192.0,15531.0,5225.0,2014,1
3936,Bristol-Myers Squibb Company,IQ25798,3889.0,333.0,2832.0,2937.0,33503.0,2405.0,18124.0,7740.0,-486.0,15379.0,4282.0,2014,2
3937,Bristol-Myers Squibb Company,IQ25798,3921.0,721.0,2884.0,2950.0,33450.0,2568.0,18249.0,7678.0,-528.0,15201.0,4851.0,2014,3
3938,Bristol-Myers Squibb Company,IQ25798,4258.0,13.0,2988.0,3323.0,33749.0,2487.0,18766.0,7835.0,-231.0,14983.0,5571.0,2014,4
3939,Bristol-Myers Squibb Company,IQ25798,4041.0,1186.0,3206.0,3228.0,33579.0,2346.0,17890.0,7492.0,-682.0,15689.0,6294.0,2015,1
3940,Bristol-Myers Squibb Company,IQ25798,4163.0,-130.0,3368.0,3175.0,31954.0,1839.0,16663.0,7370.0,-883.0,15291.0,4199.0,2015,2
3941,Bristol-Myers Squibb Company,IQ25798,4069.0,706.0,3552.0,2987.0,31779.0,1249.0,16506.0,7283.0,-700.0,15273.0,3975.0,2015,3
3942,Bristol-Myers Squibb Company,IQ25798,4287.0,-197.0,3906.0,3345.0,31748.0,1565.0,17324.0,6697.0,-1086.0,14424.0,2385.0,2015,4
3943,Bristol-Myers Squibb Company,IQ25798,4391.0,1195.0,4476.0,3343.0,31892.0,1543.0,17341.0,6755.0,-950.0,14551.0,2644.0,2016,1
3944,Bristol-Myers Squibb Company,IQ25798,4871.0,1166.0,4872.0,3669.0,32831.0,1504.0,17753.0,6736.0,-552.0,15078.0,2934.0,2016,2
3945,Bristol-Myers Squibb Company,IQ25798,4922.0,1202.0,4898.0,3624.0,33727.0,1407.0,17946.0,6826.0,-546.0,15781.0,3432.0,2016,3
3946,Bristol-Myers Squibb Company,IQ25798,5243.0,894.0,4916.0,3866.0,33707.0,1664.0,17360.0,6708.0,-605.0,16347.0,4237.0,2016,4
3947,Bristol-Myers Squibb Company,IQ25798,4929.0,1574.0,4980.0,3664.0,32937.0,1503.0,18402.0,8439.0,-1013.0,14535.0,3910.0,2017,1
3948,Bristol-Myers Squibb Company,IQ25798,5144.0,916.0,5095.0,3705.0,33409.0,1551.0,18588.0,8217.0,-1006.0,14821.0,3470.0,2017,2
3949,Bristol-Myers Squibb Company,IQ25798,5254.0,845.0,5210.0,3676.0,33977.0,1699.0,19063.0,8443.0,-706.0,14914.0,4644.0,2017,3
3950,Bristol-Myers Squibb Company,IQ25798,5449.0,-2328.0,5609.0,3786.0,33551.0,2248.0,21704.0,7962.0,-1352.0,11847.0,5421.0,2017,4
3951,Bristol-Myers Squibb Company,IQ25798,5193.0,1486.0,5358.0,3622.0,33083.0,1725.0,20177.0,7700.0,-1222.0,12906.0,5342.0,2018,1
3952,Bristol-Myers Squibb Company,IQ25798,5704.0,373.0,5636.0,4093.0,32641.0,1873.0,20223.0,7387.0,-1015.0,12418.0,4999.0,2018,2
3953,Bristol-Myers Squibb Company,IQ25798,5691.0,1901.0,5884.0,4056.0,33734.0,1773.0,19984.0,7307.0,-720.0,13750.0,5408.0,2018,3
3954,Bristol-Myers Squibb Company,IQ25798,5973.0,1160.0,5747.0,4381.0,34986.0,1892.0,20859.0,7364.0,-578.0,14127.0,6911.0,2018,4
3955,Bristol-Myers Squibb Company,IQ25798,5920.0,1710.0,5597.0,4108.0,34834.0,1976.0,19517.0,6585.0,-2029.0,15317.0,7335.0,2019,1
3956,Bristol-Myers Squibb Company,IQ25798,6273.0,1432.0,5501.0,4440.0,55163.0,2005.0,39012.0,25801.0,18268.0,16151.0,28404.0,2019,2
3957,Bristol-Myers Squibb Company,IQ25798,6007.0,1353.0,5351.0,4239.0,57433.0,1888.0,39679.0,25771.0,-941.0,17754.0,30489.0,2019,3
3958,Bristol-Myers Squibb Company,IQ25798,7945.0,-1056.0,7685.0,6138.0,129944.0,2445.0,78246.0,47539.0,-7677.0,51698.0,12346.0,2019,4
3959,Bristol-Myers Squibb Company,IQ25798,10781.0,-775.0,8290.0,8555.0,129285.0,3069.0,79308.0,47530.0,-1054.0,49977.0,15817.0,2020,1
3960,Bristol-Myers Squibb Company,IQ25798,10129.0,-85.0,7855.0,8158.0,128076.0,2852.0,78916.0,47510.0,-993.0,49160.0,19934.0,2020,2
3961,Bristol-Myers Squibb Company,IQ25798,10540.0,1872.0,8062.0,8497.0,125536.0,2441.0,75306.0,45808.0,-2587.0,50230.0,19435.0,2020,3
3962,Bristol-Myers Squibb Company,IQ25798,11068.0,-10027.0,8501.0,8833.0,118481.0,2713.0,80599.0,51683.0,3483.0,37882.0,14546.0,2020,4
3963,Campbell Soup Company,IQ258458,2172.0,279.0,805.0,894.0,6818.0,577.0,5714.0,3155.0,69.0,1104.0,291.0,2011,1
3964,Campbell Soup Company,IQ258458,2127.0,239.0,712.0,838.0,6580.0,538.0,5688.0,3197.0,-435.0,892.0,325.0,2011,2
3965,Campbell Soup Company,IQ258458,1813.0,187.0,604.0,732.0,6700.0,431.0,5629.0,3243.0,-225.0,1071.0,449.0,2011,3
3966,Campbell Soup Company,IQ258458,1607.0,100.0,519.0,639.0,6862.0,585.0,5766.0,3174.0,-109.0,1096.0,484.0,2011,4
3967,Campbell Soup Company,IQ258458,2161.0,265.0,788.0,854.0,6948.0,661.0,5781.0,3097.0,-229.0,1167.0,285.0,2012,1
3968,Campbell Soup Company,IQ258458,2112.0,205.0,683.0,811.0,6665.0,551.0,5468.0,2972.0,-300.0,1197.0,322.0,2012,2
3969,Campbell Soup Company,IQ258458,1821.0,177.0,564.0,706.0,6492.0,507.0,5220.0,2849.0,-226.0,1272.0,383.0,2012,3
